right_arm_angle,left_arm_angle,left_waist_angle,right_waist_angle,step_length,step_speed,bent_angle,height
2.89,14.52,179.82,171.75,33.53,0.0,178.71,475.28
3.51,13.91,179.26,170.38,34.48,0.0,179.03,475.44
3.79,13.71,178.78,169.25,35.17,0.0,179.67,474.46
3.81,13.38,178.16,169.22,35.44,0.0,180.0,474.46
4.1,13.42,178.45,168.66,36.4,0.0,180.0,473.47
4.1,13.42,178.45,168.41,37.36,0.0,180.0,473.47
4.45,13.13,177.96,167.82,37.11,0.0,179.67,472.48
4.45,13.17,177.62,167.82,37.11,0.0,179.67,472.48
4.45,13.13,177.58,167.82,37.36,0.0,179.67,472.48
4.45,13.22,177.62,167.82,37.36,0.0,179.67,472.48
4.45,13.22,177.62,167.8,37.11,13.49,179.67,471.5
4.45,13.59,177.62,167.8,37.11,0.0,179.67,471.5
4.45,13.25,177.04,167.78,36.88,0.0,179.34,471.5
4.45,13.21,177.0,167.78,36.88,0.0,179.34,471.5
4.45,13.21,177.0,167.78,36.88,0.0,179.34,471.33
4.45,12.84,177.0,167.78,36.88,0.0,179.34,471.33
4.45,12.84,177.0,167.78,36.88,0.0,179.34,471.33
4.45,12.84,176.75,167.78,35.9,0.0,179.34,471.5
4.45,12.84,176.75,167.54,36.88,0.0,179.34,470.51
4.45,12.84,176.75,167.54,36.88,0.0,179.34,470.51
4.45,12.84,176.75,167.56,37.11,1.5,179.34,470.51
4.45,12.84,177.0,167.56,38.08,0.0,179.34,470.51
4.45,12.84,176.96,167.8,37.36,0.0,179.34,470.35
4.45,12.8,176.96,167.8,37.36,0.0,179.34,470.35
4.41,12.8,176.96,167.82,37.36,0.0,179.35,470.35
4.41,12.8,177.0,168.07,36.14,0.0,179.35,470.35
4.37,12.8,177.0,167.77,36.4,0.0,179.02,471.33
4.37,12.8,177.0,167.77,36.4,0.0,179.02,471.33
4.37,12.8,177.24,167.79,37.64,0.0,179.02,471.17
4.42,12.8,176.96,167.73,36.69,0.0,179.01,470.35
4.42,12.8,176.96,167.73,36.69,0.0,179.01,470.35
4.42,12.8,176.96,167.73,36.69,0.0,179.01,470.35
4.42,12.8,176.96,167.73,36.69,0.0,179.01,470.35
4.42,12.8,176.96,167.73,36.69,0.0,179.01,471.33
4.77,12.8,176.96,167.73,36.69,0.0,179.01,471.33
4.73,12.8,177.16,167.42,37.95,0.0,179.01,471.17
4.73,12.8,177.16,167.64,36.69,0.0,179.01,470.18
4.73,13.13,176.83,167.64,35.74,0.0,179.01,469.2
5.1,13.13,176.83,167.64,35.74,0.0,179.01,469.2
5.4,13.88,177.16,167.67,35.74,0.0,179.02,469.2
6.44,14.25,176.96,167.43,35.44,0.0,179.02,470.35
7.83,15.05,176.42,167.43,33.53,0.0,179.02,470.51
9.57,15.05,176.17,166.56,34.21,0.0,179.01,469.69
10.86,15.47,175.59,166.03,34.21,0.0,178.69,468.88
11.88,17.02,175.34,166.03,34.21,0.0,178.69,468.88
13.58,18.87,175.39,165.21,34.93,0.0,178.36,469.86
14.52,19.44,173.9,164.71,35.17,0.0,178.05,469.05
15.34,19.2,172.9,163.99,37.36,0.0,177.75,470.03
15.33,18.88,172.15,164.04,38.28,0.0,177.75,467.25
16.25,17.58,170.82,163.01,40.5,0.0,177.14,466.27
16.49,16.18,171.61,162.61,48.38,47.95,177.14,466.44
14.79,14.31,173.68,162.29,60.17,0.0,177.14,465.92
12.32,12.98,178.61,162.64,78.85,0.0,178.08,467.55
6.88,6.54,177.1,163.06,96.75,0.0,179.03,472.16
3.06,3.84,172.09,163.76,114.35,0.0,179.67,471.01
1.12,2.16,168.17,162.08,137.18,0.0,180.0,469.4
6.53,0.35,164.47,162.16,155.05,0.0,178.99,468.81
10.51,2.15,158.84,162.55,177.1,0.0,177.6,464.57
15.87,7.04,155.84,163.79,190.07,0.0,175.84,463.17
19.74,4.39,157.55,162.21,196.01,0.0,176.19,463.28
23.32,0.38,159.72,161.31,199.0,164.84,175.87,462.69
26.95,3.13,161.31,159.67,197.12,0.0,175.21,462.08
28.05,4.84,162.77,156.88,200.2,0.0,174.53,463.75
28.33,5.36,165.0,153.96,199.49,0.0,174.22,465.02
28.17,4.63,169.0,150.68,193.49,0.0,174.93,465.8
26.21,7.44,174.87,147.59,182.66,0.0,176.3,460.24
23.75,5.64,177.25,147.3,166.03,0.0,176.67,457.67
19.11,1.24,179.66,147.29,149.16,0.0,177.61,457.67
14.66,6.54,179.5,152.81,127.94,0.0,177.06,461.29
10.08,14.96,177.56,155.7,100.96,0.0,177.46,465.11
5.53,21.12,175.82,159.99,62.97,358.14,178.22,460.84
2.09,26.54,175.68,168.31,20.59,0.0,177.17,472.28
2.25,34.26,177.11,170.67,10.0,0.0,176.12,483.0
9.2,39.84,174.16,175.96,61.98,0.0,177.92,482.28
11.78,45.48,172.97,176.76,102.36,0.0,176.88,487.77
14.04,49.76,171.74,168.42,139.64,0.0,175.82,488.64
19.34,54.45,171.89,165.33,171.14,0.0,175.12,488.89
25.8,57.06,170.0,166.31,191.06,0.0,175.84,489.88
31.34,58.93,168.95,169.72,194.03,0.0,176.57,487.65
35.41,57.43,164.32,173.7,197.45,0.0,178.32,486.14
37.08,56.97,164.22,179.3,187.11,319.18,178.99,484.25
34.35,53.47,159.11,179.8,179.81,0.0,179.33,479.13
29.9,49.15,155.34,179.63,172.41,0.0,178.64,470.86
24.54,41.33,152.06,176.53,162.25,0.0,179.66,467.41
18.91,33.69,177.64,154.48,81.71,0.0,179.32,481.27
14.0,23.63,154.76,166.4,86.05,0.0,176.63,470.41
6.39,15.89,155.47,169.46,80.8,0.0,176.71,470.09
1.48,11.31,159.99,168.38,51.24,0.0,177.06,471.48
9.12,7.17,165.26,168.36,28.84,0.0,176.46,484.0
15.05,1.3,174.32,167.28,26.57,0.0,178.4,489.42
20.15,0.01,176.71,162.08,44.01,370.13,177.12,493.21
31.53,3.86,174.16,163.33,134.06,0.0,176.87,490.87
36.83,2.48,165.89,160.62,176.0,0.0,177.52,488.57
42.23,3.01,159.38,159.2,209.0,0.0,179.07,485.58
47.01,2.32,158.2,155.69,232.02,0.0,179.07,483.14
48.34,5.35,157.6,151.39,234.0,0.0,179.37,482.67
50.04,6.03,162.44,149.03,236.03,0.0,178.73,483.66
47.59,8.41,167.93,143.56,229.49,0.0,177.2,479.5
44.13,0.64,174.0,140.93,222.32,0.0,176.58,475.95
41.97,2.79,179.63,139.96,206.2,0.0,175.65,470.79
35.91,4.56,175.82,140.13,190.38,427.07,174.98,463.98
28.88,4.51,172.79,142.64,172.72,0.0,174.81,461.81
20.69,3.64,172.25,148.64,138.57,0.0,175.75,463.59
14.95,4.86,172.38,153.71,112.61,0.0,177.0,467.27
7.14,17.86,169.13,158.24,73.41,0.0,177.35,470.74
1.03,21.86,166.29,166.85,10.2,0.0,176.36,478.08
4.46,31.32,168.81,168.19,25.5,0.0,177.02,485.8
9.91,39.7,172.07,173.7,69.26,0.0,178.01,493.98
13.92,45.45,171.35,176.91,123.33,0.0,179.02,502.24
18.43,49.97,170.03,170.08,162.52,0.0,179.67,503.29
22.23,53.3,167.38,164.47,200.72,325.17,180.0,499.68
27.09,54.9,163.25,163.76,220.51,0.0,179.02,495.05
30.61,56.41,161.62,164.6,228.43,0.0,179.02,492.86
32.1,56.41,159.61,168.28,225.18,0.0,178.71,489.2
32.3,53.19,155.12,171.95,223.03,0.0,177.74,488.79
31.52,51.22,153.17,176.23,215.38,0.0,176.8,484.98
29.38,45.09,148.84,179.09,209.31,0.0,175.82,480.09
